tconst	primaryTitle	originalTitle	isAdult	releaseYear	runtimeMinutes	genres	averageRating	numVotes	nudity	violence	profanity	alcohol	frightening	actors	countriesOfOrigin	productionCompanies	budget	grossWorldwide
tt0094057	Street Trash	Street Trash	0	1987.0	91.0	Comedy,Horror	5.9	11245	Severe	Severe	Severe	Moderate	Moderate	Mike Lackey, Bill Chepil, Vic Noto, Mark Sferrazza, Jane Arakawa, Nicole Potter, Pat Ryan, Clarenze Jarmon, Bernard Perlman, Miriam Zucker, M. D'Jango Krunch, James Lorinz, Morty Storm, Sam Blasco, Bruce Torbet, Roman Zack, Gary Auerbach, Roy Frumkes	United States	Street Trash Joint Venture	457000.0	
tt11586384	Masking Threshold	Masking Threshold	0	2021.0	90.0	Drama,Fantasy,Horror	5.9	4684						Ethan Haslam, Johannes Grenzfurthner, Jason Scott Sadofsky, Bronwynn Mertz-Penzinger, Caroline St. Clair, Ishan Raval, David Fine, Offerus Ablinger, Katharina Rose, Roland Gratzer, Matthias Ramon Jaklitsch, Harald Homolka-List, Patrick Michael Greene, Max Grodénchik, Paul Poet, Kero Fichter, Jasmin Hagendorfer	Austria	Monochrom Propulsion Systems		
tt3469244	Phantom	Phantom	0	2015.0	136.0	Action,Drama,Thriller	5.9	9811		Moderate	Mild	Mild	Moderate	Saif Ali Khan, Katrina Kaif, Sabyasachi Chakrabarty, Rajesh Tailang, Sohaila Kapur, Midhat Khan, Sumit Gulati, Mohd. Zeeshan Ayyub, Denzil Smith, Mir Sarwar, Ashwath Bhatt, Sandeep Bose, Pawan Chopra, Kaizaad Kotwal, Chittaranjan Tripathy, Hervey Afiune, Elyas Ahmad, Farah Ahmed	India	FilmWorks, Nadiadwala Grandson Entertainment, UTV Motion Pictures	6855000.0	12500403.26
tt9026524	Bliss	Bliss	0	2019.0	80.0	Drama,Horror,Mystery	5.9	5567	Severe	Severe	Severe	Severe	Severe	Dora Madison, Tru Collins, Rhys Wakefield, Jeremy Gardner, Graham Skipper, Chris McKenna, Rachel Avery, Mark Beltzman, George Wendt, Abraham Benrubi, Jesse Merlin, Matt Mercer, Josh Ethier, Jackson Birnbaum, Susan Slaughter, Erin Braswell, Zoe Cooper, Simone Wasserman	United States	Channel 83 Films		
tt1649780	Peace, Love & Misunderstanding	Peace, Love & Misunderstanding	0	2011.0	96.0	Comedy,Drama,Music	5.9	8711	Mild		Mild	Moderate		Jane Fonda, Catherine Keener, Elizabeth Olsen, Nat Wolff, Kyle MacLachlan, Joseph Dunn, Ann Osmond, Teri Gibson, Robert Bowen Jr., Wayne Pyle, Alison Ball, Joyce Van Patten, Laurent Rejto, Jeffrey Dean Morgan, Edward Morgan, Maddie Corman, Denise Burse, Poorna Jagannathan	United States	BCDF Pictures	9140000.0	1009988.28
tt7448180	The Debt Collector	The Debt Collector	0	2018.0	95.0	Action,Comedy	5.9	8734	Moderate	Severe	Severe	Mild	Moderate	David Will No, Michael Paré, Scott Adkins, Vladimir Kulich, Louis Mandylor, Kelly Tucci, Rich Manley, Justin Gant, Matt Harrison, Danice Cabanela, Richard Tanner, Jamal Duff, John Duff, Esteban Cueto, Robert Hallak, Nihan Gur, Sara Finley, Marshal Hilton	United Kingdom, United States	Tarzana Productions, Cohesive Entertainment Group (CEG), Compound B	2742000.0	26181.53
tt1686784	Flying Swords of Dragon Gate	Long men fei jia	0	2011.0	122.0	Action,Adventure	5.9	8513						Jet Li, Xun Zhou, Kun Chen, Gwei Lun-Mei, Yuchun Li, Mavis Fan, Siu-Wong Fan, Chia-Hui Liu, Jiankui Sun, Chien Sheng, Yiheng Du, Shuangbao Wang, Jian Xue, Feixing Han, Bingyuan Li, Zhuo Li, Di Wu, Junru Li	China	Beijing Liangzi Group, Beijing Poly-bona Film Publishing Company, Bona Entertainment	31990000.0	3037570.234
tt7515456	Mission of Honor	Hurricane	0	2018.0	107.0	Action,Drama,War	5.9	5444	Mild	Moderate	Moderate	Moderate	Moderate	Iwan Rheon, Milo Gibson, Stefanie Martini, Krystof Hádek, Marcin Dorocinski, Manuel Klein, Raphael Desprez, Rosie Gray, Emily Wyatt, Robert Portal, Andrew Sweet, Marc Hughes, Graham Padden, Teresa Mahoney, Jamie Langlands, William Nash, Hugh Alexander, Kit Patrick	United Kingdom, Poland	Film Slate One, Head Gear Films, Metrol Technology	9140000.0	1953904.414
tt1622979	Final Destination 5	Final Destination 5	0	2011.0	92.0	Horror,Thriller	5.9	123451	Mild	Severe	Moderate	Mild	Severe	Nicholas D'Agosto, Emma Bell, Arlen Escarpeta, Miles Fisher, Ellen Wroe, Jacqueline MacInnes Wood, P.J. Byrne, David Koechner, Courtney B. Vance, Tony Todd, Brent Stait, Roman Podhora, Jasmin Dring, Barclay Hope, Chasty Ballesteros, Mike Dopud, Tanya Hubbard, Frank Topol	United States, Canada	New Line Cinema, Practical Pictures, Parallel Zide	36560000.0	144309305.702
tt1690455	Dark Horse	Dark Horse	0	2011.0	86.0	Comedy,Drama	5.9	6335		Mild	Severe	Mild	Severe	Jordan Gelber, Selma Blair, Christopher Walken, Mia Farrow, Melisa Young, Zachary Booth, Donna Murphy, Tyler Maynard, Mary Joy, Peter McRobbie, Justin Bartha, Aasif Mandvi, Di Quon, Lee Wilkof, Tera Lee Pollin, Keith Kuhl, Kathryn Avery, Laurena Baros	United States	Double Hope Films	1828000.0	308155.10000000003
tt0068833	The Last House on the Left	The Last House on the Left	0	1972.0	84.0	Crime,Horror,Thriller	5.9	39815	Severe	Severe	Moderate	Moderate	Severe	Sandra Peabody, Lucy Grantham, David Hess, Fred J. Lincoln, Jeramie Rain, Marc Sheffler, Richard Towers, Cynthia Carr, Ada Washington, Marshall Anker, Martin Kove, Ray Edwards, Jonathan Craven, Anthony J. Forcelli, Steve Miner	United States	Sean S. Cunningham Films, The Night Co., Lobster Enterprises	82260.0	
tt1684628	Circumstance	Circumstance	0	2011.0	107.0	Drama	5.9	7946	Mild					Sarah Kazemy, Nikohl Boosheri, Reza Sixo Safai, Soheil Parsa, Nasrin Pakkho, Amir Barghashi, Fariborz Daftari, Keon Alexander, Sina Amedson, Amir Hossein Soleimani, Sirvart Fazlian, Elie Njeim, Joseph Fadel, Milad Hadchiti, Ghina Daou, Hadi Tabbal, Rita El-Achkar, Ele Khater	France, United States, Iran	Marakesh Films, A Space Between, Bago Pictures	914000.0	507737.054
tt1691920	I Melt with You	I Melt with You	0	2011.0	122.0	Drama	5.9	6373	Mild	Mild	Severe	Severe	Mild	Thomas Jane, Rob Lowe, Jeremy Piven, Christian McKay, Carla Gugino, Tom Bower, Arielle Kebbel, Zander Eckhouse, Abhi Sinha, Sasha Grey, Joe Reegan, August Emerson, Rebecca Creskoff, Melora Hardin, Anthony Newfield, Tom Donald, Emma Friedman, David Lowe	United States	Media House Capital, Raw Entertainment, The Complex		14836.048
tt0890870	Saw IV	Saw IV	0	2007.0	93.0	Horror,Mystery,Thriller	5.9	162761	Moderate	Severe	Severe	Mild	Severe	Tobin Bell, Scott Patterson, Louis Ferreira, Costas Mandylor, Betsy Russell, Lyriq Bent, Athena Karkanis, Simon Reynolds, Donnie Wahlberg, Angus Macfadyen, Shawnee Smith, Bahar Soomekh, Dina Meyer, Mike Realba, Marty Adams, Sarain Boylan, Billy Otis, James Van Patten	Canada, United States	Twisted Pictures, Ontario Production Services Tax Credit (OPSTC), Canadian Film or Video Production Services Tax Credit (PSTC)	9140000.0	127368306.562
tt2034800	The Great Wall	The Great Wall	0	2016.0	103.0	Action,Adventure,Fantasy	5.9	144250		Moderate	Mild		Moderate	Matt Damon, Tian Jing, Willem Dafoe, Andy Lau, Pedro Pascal, Hanyu Zhang, Han Lu, Kenny Lin, Eddie Peng, Xuan Huang, Ryan Zheng, Karry Wang, Cheney Chen, Pilou Asbæk, Numan Acar, Johnny Cicco, Vicky Yu, Bing Liu	United States, China, Hong Kong, Australia, Canada	Legendary East, Atlas Entertainment, China Film Co., Ltd.	137100000.0	306129521.53400004
tt5017936	Prodigy	Prodigy	0	2017.0	80.0	Drama,Sci-Fi,Thriller	5.9	7383		Mild	Mild		Mild	Richard Neil, Savannah Halliday, Jolene Andersen, Emilio Palame, David Linski, Harvey Q. Johnson, Aral Gribble, Avery Barkdull, Trevor Castillo, Penelope Figueroa, Markus Haskins, Christina Holder, Alex Matthew, Howard Vidal	United States	High Noon California		
