tconst,primaryTitle,originalTitle,isAdult,releaseYear,runtimeMinutes,genres,averageRating,numVotes,nudity,violence,profanity,alcohol,frightening,actors,countriesOfOrigin,productionCompanies,budget,grossWorldwide
tt28145495,Uruttu Tech,Uruttu Tech,0,2023.0,66.0,Comedy,9.8,9940,None,Moderate,Mild,None,None,,India,,,
tt16747572,The Silence of Swastika,The Silence of Swastika,0,2021.0,56.0,"Documentary,History",9.4,10478,None,None,None,,,Suzanne Bernert,India,AKTK Media,,
tt0111161,The Shawshank Redemption,The Shawshank Redemption,0,1994.0,142.0,Drama,9.3,2837594,Mild,Moderate,Severe,Mild,Moderate,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows, Mark Rolston, James Whitmore, Jeffrey DeMunn, Larry Brandenburg, Neil Giuntoli, Brian Libby, David Proval, Joseph Ragno, Jude Ciccolella, Paul McCrane, Renee Blaine, Scott Mann",United States,Castle Rock Entertainment,22850000.0,26400630.424
tt0068646,The Godfather,The Godfather,0,1972.0,175.0,"Crime,Drama",9.2,1977616,Moderate,Severe,Moderate,Mild,Moderate,"Marlon Brando, Al Pacino, James Caan, Diane Keaton, Richard S. Castellano, Robert Duvall, Sterling Hayden, John Marley, Richard Conte, Al Lettieri, Abe Vigoda, Talia Shire, Gianni Russo, John Cazale, Rudy Bond, Al Martino, Morgana King, Lenny Montana",United States,"Paramount Pictures, Albert S. Ruddy Productions, Alfran Productions",5484000.0,228812419.824
tt6915770,Starfish,Starfish,0,2023.0,121.0,"Drama,Romance,Thriller",9.2,15564,,,,,,"Khushali Kumar, Milind Soman, Tusharr Khanna, Ehan Bhat, Mike Parish, Jagat Rawat, Nikhat Khan, Pawan Shankar, Marc Cabourdin, Sambhav Jain, Catalin Bindiu, Maxime Durand","India, United States","Almighty Motion Picture, T-Series",,
tt23849204,12th Fail,12th Fail,0,2023.0,147.0,"Biography,Drama",9.2,22654,None,None,None,Mild,None,"Vikrant Massey, Medha Shankar, Joshi Anantvijay, Anshuman Pushkar, Geeta Agrawal Sharma, Harish Khanna, Sarita Joshi, Priyanshu Chatterjee, Vikas Divyakirti, Abhishek Sengupta, Triaksh Chhabra, Darius Chinoy, Vijay Kumar Dogra, Fasi Khan, Sam Mohan, Rahul Dev Shetty, Suraj Naagar, Sanjay Bishnoi",India,"Vinod Chopra Films, Zee Studios",,126395.232
tt0252487,The Chaos Class,Hababam Sinifi,0,1975.0,87.0,"Comedy,Drama",9.2,42526,None,Mild,Moderate,Moderate,None,"Kemal Sunal, Münir Özkul, Halit Akçatepe, Tarik Akan, Adile Nasit, Sitki Akçatepe, Kerem Aridogan, Ahmet Ariman, Ertugrul Bilda, Kemal Ergüvenç, Aysen Gruda, Cem Gürdap, Muharrem Gürses, Bülent Haksever, Bülent Igdiroglu, Hayri Karabey, Hakki Karadayi, Hüseyin Kasif",Turkey,Arzu Film,,
tt0259534,Ramayana: The Legend of Prince Rama,Ramayana: The Legend of Prince Rama,0,1993.0,135.0,"Action,Adventure,Animation",9.2,13555,None,Mild,None,None,Mild,"Arun Govil, Nikhil Kapoor, Edie Mirman, Rael Padamsee, Namrata Sawhney, Uday Mathan, Shatrughan Sinha, Jinder Walia, Amrish Puri, Mishal Varma, Noel Godin, Shakti Singh, Dilip Sinha, Madhulika Varma, Mari Devon, Pearl Padamsee, Barbara Goodson, Shagufta Jaffrey","India, Japan","Nippon Ramayana Film Co., TEM",,
tt2592910,CM101MMXI Fundamentals,CM101MMXI Fundamentals,0,2013.0,139.0,"Comedy,Documentary",9.1,47006,None,None,Severe,Mild,None,Cem Yilmaz,Turkey,CMYLMZ Fikirsanat,,19123504.094
tt0249795,Mayabazar,Maya Bazaar,0,1957.0,192.0,"Comedy,Drama",9.1,5646,Mild,Mild,None,None,Moderate,"N.T. Rama Rao, S.V. Ranga Rao, Savitri, Gemini Ganesan, Akkineni Nageswara Rao, Rushyendramani, Seeta Rama Anjaneyulu Chilakalapudi, M.N. Nambiar, K.A. Thangavelu, Relangi Venkatramaiah, Balasubramaniam D., Gummadi, Sandhya, Chhayadevi, Suryakantham, Nagabhushanam, Ramana Reddy, Mukkamala",India,Vijaya Pictures,,
